project_name,oneliner,git_namespace,git_url,platform,topics,rubric,last_commit_date,stargazers_count,number_of_dependents,stars_last_year,project_active,dominating_language,organization,organization_user_name,languages,homepage,refs,project_created,project_age_in_days,license,total_commits_last_year,total_number_of_commits,last_issue_closed,open_issues,closed_pullrequests,closed_issues,issues_closed_last_year,days_until_last_issue_closed,open_pullrequests,reviews_per_pr,development_distribution_score,last_released_date,last_release_tag_name,good_first_issue,contributors,accepts_donations,donation_platforms,code_of_conduct,contribution_guide,dependents_repos,organization_name,organization_github_url,organization_website,organization_location,organization_country,organization_form,organization_avatar,organization_public_repos,organization_created,organization_last_update
Radiant MLHub Python Client,"Open community commons for geospatial training data, machine learning models, and standards to encourage collaboration and share information.",radiantearth,https://github.com/radiantearth/radiant-mlhub.git,github,"machine-learning,satellite-imagery,python,python-client,python-3,stac",Data Catalogs and Interfaces,"2023/02/13, 18:06:47",51,0,3,false,Python,Radiant Earth,radiantearth,Python,https://radiant-mlhub.readthedocs.io/,,"2020/10/13, 20:55:38",1301,CUSTOM,0,367,"2023/04/13, 16:59:06",10,164,189,0,389,6,1,0.235294117647059,"2022/11/23, 15:42:13",v0.5.5,0,7,false,,true,true,,,https://github.com/radiantearth,https://www.radiant.earth,,,,https://avatars.githubusercontent.com/u/25801078?v=4,,,
Global Environmental Database,"Providing long-term monitoring data, data analysis results, output of models.",portal/geds,,custom,,Data Catalogs and Interfaces,,,,,,,,,,https://db.cger.nies.go.jp/portal/geds/index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resource Watch,Features hundreds of data sets all in one place on the state of the planet's resources and citizens.,resource-watch,https://github.com/resource-watch/resource-watch.git,github,"react,mapbox,nextjs,datasets,wri-api,climate-change,typescript",Data Catalogs and Interfaces,"2023/06/07, 16:32:51",64,0,3,true,JavaScript,Resource Watch,resource-watch,"JavaScript,TypeScript,SCSS,HTML,Dockerfile,Shell,CSS",http://resourcewatch.org,,"2017/05/17, 14:25:12",2546,MIT,5,8665,"2023/06/07, 16:49:17",3,2075,2078,5,334,1,0,0.577035355173532,,,0,31,false,,false,false,,,https://github.com/resource-watch,,,,,https://avatars.githubusercontent.com/u/18593980?v=4,,,
EarthData,"Our vision is to make NASA's free and open Earth science data interactive, interoperable, and accessible for research and societal benefit both today and tomorrow.",,,custom,,Data Catalogs and Interfaces,,,,,,,,,,https://www.earthdata.nasa.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
owidR,An R Package for Interacting with Data from Our World in Data.,piersyork,https://github.com/piersyork/owidR.git,github,"r,r-package,data,data-visualisation,economics",Data Catalogs and Interfaces,"2023/11/05, 16:23:00",114,0,3,true,R,,,R,,,"2021/06/28, 18:06:02",1043,CUSTOM,20,196,"2023/10/29, 11:35:31",2,1,6,3,190,1,0,0.005181347150259,"2023/06/18, 20:39:36",v1.4.1,0,2,false,,false,false,,,,,,,,,,,
Custom Scripts Sentinel Hub,A repository of custom scripts to be used with Sentinel Hub.,sentinel-hub,https://github.com/sentinel-hub/custom-scripts.git,github,"sentinel-hub,remote-sensing,earth-observation",Data Catalogs and Interfaces,"2024/04/30, 11:57:40",639,0,37,true,JavaScript,Sentinel Hub,sentinel-hub,"JavaScript,Jupyter Notebook,HTML,SCSS,Ruby",https://custom-scripts.sentinel-hub.com/,,"2017/10/10, 12:18:17",2400,CC-BY-SA-4.0,149,1707,"2024/04/30, 11:57:40",5,278,305,49,6,4,0.1,0.727826086956522,,,0,44,false,,false,false,,,https://github.com/sentinel-hub,https://www.sentinel-hub.com,,,,https://avatars.githubusercontent.com/u/31830596?v=4,,,
eurostat R package,"R tools to access open data from Eurostat, the statistical office of the European Union.",rOpenGov,https://github.com/rOpenGov/eurostat.git,github,"eurostat,eurostat-data,r,ropengov,r-package,cran",Data Catalogs and Interfaces,"2023/12/20, 09:02:07",229,0,18,true,R,rOpenGov,rOpenGov,"R,Shell",http://ropengov.github.io/eurostat,",https://doi.org/10.32614/RJ-2017-019,https://doi.org/10.5281/zenodo.399279,https://doi.org/10.32614/RJ-2017-019","2014/04/21, 10:52:20",3668,CUSTOM,109,1333,"2024/04/29, 19:28:40",22,83,273,51,7,0,0.1,0.419651995905834,"2024/01/08, 11:17:42",v4.0.0,1,18,false,,false,false,,,https://github.com/rOpenGov,http://ropengov.org,Finland,,,https://avatars.githubusercontent.com/u/5463092?v=4,,,
giscoR,An R API package that helps to retrieve data from Eurostat Geographic Information System of the Commission.,rOpenGov,https://github.com/rOpenGov/giscoR.git,github,"r,gisco,eurostat-data,api-wrapper,eurostat,cran,thematic-maps,r-package,rstats,spatial,ggplot2,ropengov,gis",Data Catalogs and Interfaces,"2024/04/19, 15:33:39",63,0,11,true,R,rOpenGov,rOpenGov,"R,TeX",https://ropengov.github.io/giscoR/,",https://doi.org/10.5281/zenodo.4317946,https://doi.org/10.5281/zenodo.4317946,https://doi.org/10.32614/RJ-2017-019","2020/09/23, 19:40:44",1321,GPL-3.0,105,783,"2024/03/27, 07:37:10",1,53,79,27,41,0,0.2,0.224203821656051,"2024/03/27, 07:36:14",v0.4.2,0,6,true,"github,patreon,open_collective,ko_fi,tidelift,community_bridge,liberapay,issuehunt,otechie,custom",false,true,,,https://github.com/rOpenGov,http://ropengov.org,Finland,,,https://avatars.githubusercontent.com/u/5463092?v=4,,,
Digital Earth Africa Notebooks,"Using Earth observations to address social, environmental and economic changes on the Africa continent.",digitalearthafrica,https://github.com/digitalearthafrica/deafrica-sandbox-notebooks.git,github,"python,jupyter-notebooks,opendatacube,remotesensing,earthobservation,xarray,hacktoberfest",Data Catalogs and Interfaces,"2024/03/18, 13:17:59",160,10,44,true,Jupyter Notebook,Digital Earth Africa,digitalearthafrica,"Jupyter Notebook,Python",,",https://doi.org/10.26186/145234\n\n---\n\nThe","2019/07/18, 04:31:13",1755,Apache-2.0,283,1336,"2024/03/18, 13:17:59",7,417,499,59,49,6,1,0.734130634774609,,,0,33,false,,false,false,"varshamannem14/Telangana_Forest_Analysis,vikineema/cube-in-a-box-deafrica,no1rabbit/Cloud_chasing,jayadeep07/Remote_sensing_ps,varshamannem/varsha_remote_sensing,sumanth-2003/ps2-2_falsk_app,varshamannem/remote_sensing,famenontsoa/mg-datacube,saikrishna7004/remote-sensing,digitalearthafrica/deafrica-sandbox",,https://github.com/digitalearthafrica,https://digitalearthafrica.org,,,,https://avatars.githubusercontent.com/u/53030946?v=4,,,
MeCCO,Open Database on the Media Coverage of Climate Change and Global Warming.,icecaps/research,,custom,,Data Catalogs and Interfaces,,,,,,,,,,http://sciencepolicy.colorado.edu/icecaps/research/media_coverage/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Action Plans,"A simple, open database of local government climate action plan documents and emissions data.",mysociety,https://github.com/mysociety/caps.git,github,"climate,climate-change,local-government,citizen-participation,mapit,docker,vagrant",Data Catalogs and Interfaces,"2024/04/22, 16:43:05",8,0,0,true,HTML,mySociety,mysociety,"HTML,Python,SCSS,JavaScript,Shell,Dockerfile",https://cape.mysociety.org,,"2020/08/21, 20:17:51",1354,CUSTOM,395,1353,"2024/04/18, 09:35:32",78,364,584,145,18,9,0.3,0.649773071104387,,,0,8,false,,false,false,,,https://github.com/mysociety,https://www.mysociety.org/,UK,,,https://avatars.githubusercontent.com/u/141338?v=4,,,
AI for Earth Data Sets,Notebooks and documentation for AI-for-Earth-managed datasets on Azure.,microsoft,https://github.com/microsoft/AIforEarthDataSets.git,github,aiforearth,Data Catalogs and Interfaces,"2024/04/17, 14:53:39",264,0,40,true,Jupyter Notebook,Microsoft,microsoft,"Jupyter Notebook,Python",https://microsoft.github.io/AIforEarthDataSets/,,"2021/02/18, 16:01:53",1173,MIT,9,316,"2024/04/17, 14:53:39",2,39,47,6,19,0,0.3,0.178030303030303,,,0,12,false,,true,false,,,https://github.com/microsoft,https://opensource.microsoft.com,"Redmond, WA",,,https://avatars.githubusercontent.com/u/6154722?v=4,,,
wopr,An R package and Shiny application to provide API access to the WorldPop Open Population Repository.,wpgp,https://github.com/wpgp/wopr.git,github,"bayesian-methods,r-package,shiny-apps,population-model",Data Catalogs and Interfaces,"2024/02/05, 16:14:30",32,0,4,true,HTML,WorldPop,wpgp,"HTML,R",https://apps.worldpop.org/woprVision,,"2019/11/07, 22:34:44",1642,GPL-3.0,9,454,"2024/02/05, 16:14:30",5,25,46,3,91,1,0,0,"2021/06/10, 16:06:08",1.0.0,0,2,false,,false,false,,,https://github.com/wpgp,https://www.worldpop.org,University of Southampton,,,https://avatars.githubusercontent.com/u/33325143?v=4,,,
The POWER Project,"Provides solar and meteorological data sets from NASA research for support of renewable energy, building energy efficiency and agricultural needs.",,,custom,,Data Catalogs and Interfaces,,,,,,,,,,https://power.larc.nasa.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earthdata Search,"A web application developed by NASA EOSDIS to enable data discovery, search, comparison, visualization, and access across EOSDIS' Earth Science data holdings.",nasa,https://github.com/nasa/earthdata-search.git,github,"earthdata-search,data-discovery,eosdis,hacktoberfest",Data Catalogs and Interfaces,"2024/05/06, 18:28:42",731,0,48,true,JavaScript,NASA,nasa,"JavaScript,SCSS,HTML,Shell",https://search.earthdata.nasa.gov,,"2015/08/13, 17:13:40",3189,CUSTOM,183,8867,"2024/05/06, 18:28:43",23,1690,1712,131,0,4,3,0.746492985971944,,,1,50,false,,false,true,,,https://github.com/nasa,https://github.com/nasa/nasa.github.io/blob/master/docs/INSTRUCTIONS.md,United States of America,,,https://avatars.githubusercontent.com/u/848102?v=4,,,
Planetary Computer Data Catalog,Combines a multi-petabyte catalog of global environmental data with intuitive APIs and a flexible scientific environment.,microsoft,https://github.com/microsoft/PlanetaryComputerDataCatalog.git,github,aiforearth,Data Catalogs and Interfaces,"2024/03/28, 13:52:09",35,0,8,true,TypeScript,Microsoft,microsoft,"TypeScript,JavaScript,CSS,Python,Shell,HTML,Dockerfile",https://planetarycomputer.microsoft.com,,"2020/12/01, 02:26:24",1253,MIT,23,1222,"2024/03/18, 19:21:38",17,438,448,16,49,10,0.2,0.307436182019978,"2024/03/28, 14:03:49",2024.1.3,0,14,false,,true,false,,,https://github.com/microsoft,https://opensource.microsoft.com,"Redmond, WA",,,https://avatars.githubusercontent.com/u/6154722?v=4,,,
Global Energy Monitor,"Studies the evolving international energy landscape, creating databases, reports, and interactive tools that enhance understanding.",,,custom,,Data Catalogs and Interfaces,,,,,,,,,,https://globalenergymonitor.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAC Index,"Find STAC Catalogs, Collections, APIs, Software and Tools.",stac-utils,https://github.com/stac-utils/stac-index.git,github,"stac,index,spec",Data Catalogs and Interfaces,"2023/11/27, 16:59:17",7,0,2,true,JavaScript,stac-utils,stac-utils,"JavaScript,Vue,HTML",https://stacindex.org,,"2020/08/20, 09:52:13",1355,Apache-2.0,3,101,"2023/09/05, 15:27:58",12,1,22,2,244,0,0,0.00990099009901,,,0,2,false,,false,false,,,https://github.com/stac-utils,,,,,https://avatars.githubusercontent.com/u/58087398?v=4,,,
Eumap,"Comprises environmental, land cover, terrain, climatic, soil and vegetation layers covering the continental Europe at relatively fine spatial resolutions.",geoharmonizer_inea,https://gitlab.com/geoharmonizer_inea/eumap,gitlab,,Data Catalogs and Interfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Data Science Europe Metadata Catalog,"Building the Open Data Science Europe Portal, a freely-accessible viewer containing gridded layers for Europe at spatial resolutions of 30-m or better.",,,custom,,Data Catalogs and Interfaces,,,,,,,,,,https://maps.opendatascience.eu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EarthDataLab.jl,Julia interface for Reading from the Earth System Datacube.,JuliaDataCubes,https://github.com/JuliaDataCubes/EarthDataLab.jl.git,github,,Data Catalogs and Interfaces,"2023/08/01, 19:03:53",33,0,2,true,Julia,,JuliaDataCubes,Julia,http://earthsystemdatacube.net,,"2015/12/03, 16:38:31",3077,CUSTOM,9,672,"2023/08/01, 19:43:32",51,142,252,7,279,4,0,0.131627056672761,"2023/08/01, 19:26:18",v0.13.0,1,12,false,,false,false,,,https://github.com/JuliaDataCubes,,,,,https://avatars.githubusercontent.com/u/102149337?v=4,,,
The CEDA Archive,"We host over 18 Petabytes of data from climate models, satellites, aircraft, met observations, and other sources.",,,custom,,Data Catalogs and Interfaces,,,,,,,,,,https://archive.ceda.ac.uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Data Dashboard of the ESA Climate Change Initiative,Access global climate data produced through the ESA's Climate Change Initiative.,en,,custom,,Data Catalogs and Interfaces,,,,,,,,,,https://climate.esa.int/en/odp/#/dashboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS,A python module for interfacing with the US Geological Survey's API.,kapadia,https://github.com/kapadia/usgs.git,github,,Data Catalogs and Interfaces,"2023/07/18, 20:12:14",110,42,5,true,Python,,,Python,http://kapadia.github.io/usgs/,,"2014/12/19, 17:21:02",3426,ISC,2,249,"2023/07/18, 20:21:54",6,30,67,3,293,2,0.1,0.098445595854922,"2023/07/18, 20:10:12",v0.3.5,0,12,false,,false,false,"Lauvsnes1/react-django-example,RS-PYTHON/rs-server,spack/pypi-to-spack-package,scottrbrtsn-ata-llc/random-helpful-things-maybe,ITC-Water-Resources/itc-hydrafloods-2024,Ruturaj4/package-management-project-pypi,hsjung24/Landsat8_Sea_Ice_Concentration,MartyC-137/qgis-for-trails,martingaido/delta,hossamhassan77/gis_backend,chyalexcheng/grainLearning,romain-bdc/LookPyrenees,ndavid/EoBuildingReview,Arioluwa/DeepChange,iamdonovan/spymicmac,opengeos/geospatial,GrainLearning/grainLearning,neviskevin/RA_v3,AkumuYuma/eodag-data-downloader,ep-infosec/28_nasa_delta,neviskevin/process,Dave4272-Office/delta,rogerlew/wepppy,CS-SI/eodag,Applied-GeoSolutions/gips,FrankBlues/my-dockerfiles,connectthefuture/landsat-util,goyal-shivam/EarthExplorer-Downloader,nasa/delta,BabyCakes13/Glacier-Analyser,tobylunt/senate_cash,dnealio/landsat-util,bkleynhans/Landsat-Buoy-Calibration,bryanlandia/terrainerd,developmentseed/landsat-util,TobiasHerr/landsat-util-fork,natedileas/Landsat-Buoy-Calibration,sat-utils/sat-download,Chandler/planet-labs-cookbook,dshimo/ANSCRainfallGraph,loicdtx/lsru,ykacer/CES_Data_Scientist_2016",,,,,,,,,,
getSpatialData,"Making it easy to query, preview, download and preprocess multiple kinds of satellite datasets via R.",16EAGLE,https://github.com/16EAGLE/getSpatialData.git,github,"spatial-data,remote-sensing,sentinel,landsat,modis,r,api-client,getspatialdata,copernicus,usgs-earth-explorer,esa,nasa",Data Catalogs and Interfaces,"2022/06/02, 08:22:35",295,0,19,true,R,,,R,https://jakob.schwalb-willmann.de/getSpatialData,",https://doi.org/10.1038/d41586-018-03924-9\n\n\n\n","2017/11/13, 19:25:03",2366,GPL-3.0,0,1277,"2023/11/07, 07:48:40",41,27,75,1,182,2,0.1,0.33442088091354,"2020/06/05, 17:17:25",v0.1.0,0,5,false,,false,false,,,,,,,,,,,
Smart Data Models,This Models describe the main entities involved with smart applications that deal with environmental issues.,smart-data-models,https://github.com/smart-data-models/dataModel.Environment.git,github,,Data Catalogs and Interfaces,"2024/02/06, 16:08:29",10,0,3,true,,Smart Data Models,smart-data-models,,,,"2019/06/06, 14:59:48",1796,CUSTOM,957,11564,"2023/12/20, 16:47:13",0,15,19,2,138,0,0.9,0.008738536078906,,,0,11,false,,false,false,,,https://github.com/smart-data-models,https://smartdatamodels.org,,,,https://avatars.githubusercontent.com/u/44724489?v=4,,,
epair,Use R to get data from the Environmental Protection Agency API.,ropensci,https://github.com/ropensci/epair.git,github,,Data Catalogs and Interfaces,"2022/07/23, 06:24:02",7,0,1,false,R,rOpenSci,ropensci,R,,",https://zenodo.org/badge/latestdoi/263992685","2020/05/14, 18:21:45",1453,GPL-3.0,0,316,"2022/07/23, 06:24:04",0,34,34,0,654,0,0.3,0.311188811188811,"2022/07/23, 06:03:08",v1.1.0,0,3,false,,false,true,,,https://github.com/ropensci,https://ropensci.org/,,,,https://avatars.githubusercontent.com/u/1200269?v=4,,,
Siphon,"A collection of Python utilities for retrieving atmospheric and oceanic data from remote sources, focusing on being able to retrieve data from Unidata data technologies.",Unidata,https://github.com/Unidata/siphon.git,github,"python,unidata,netcdf,thredds,thredds-catalogs,hacktoberfest",Data Catalogs and Interfaces,"2023/08/11, 17:33:59",211,146,26,true,Python,NSF Unidata,Unidata,Python,https://unidata.github.io/siphon,,"2013/08/30, 20:10:35",3902,BSD-3-Clause,8,1088,"2024/04/20, 14:29:37",109,536,648,53,16,23,0,0.427814569536424,"2021/03/07, 21:57:32",v0.9,4,26,false,,false,true,"cedadev/extraction-methods,RomiNahir/granizo,skipmcgee/wind-forecast,simeneide/flysogn,jcrosier/misc_scripts,edomenico/tabuleiro,tlconsultinggroup/utas,justin13601/ai-shading,thdfw/master_thesis,MichaelAPC04/Python-Programming-Fundamentals,edomenico/edomenico,brown-ccv/icesat2waves,UofU-Cryosphere/weather_forecast_retrieval,RENCI/adda_for_floodwater,livingearth-system/livingearth_png,NCAR/rechunk_nwm_retro,will-s-hart/climate-epidemics,p3ck/redis-poc,hanluu077/FIT1045,nrb171/Automatic-Publication-Management-System,themeda-devs/themeda,themeda-devs/themeda-preproc,nrb171/Automatic-Publication-Summarization,pyvista/pyvista-xarray,jdduprey/hello-planet,crim-ca/stac-ingest,kylejgillett/sounderpy,NREL/lore,pilotchute/HRRR_Jupyter,michaelwsd/navigator,crim-ca/stac-populator,decision-labs/carto-python,areyc2023/cno,brown-ccv/jupyterhub-docker-images,StefaE/PVForecast,SAEON/somisana,roy-shuvashish/tsgettoolbox,cheginit/tsgettoolbox,tbongiov/tsgettoolbox,SlackmasterFelipeCafe/SquamataRadDataReview,nhm-usgs/gfsetl,kike144/Solar,Ouranosinc/pavics-vdb,Mingxiangyu/pyProject,SepehrMosavat/PROGNOES,cedadev/stac-stocktake,cormorack/yodapy,Vipermdl/Oxyformer,LBNL-ETA/AFC,flopaw/pvforecast-docker,NOAA-ORR-ERD/model_catalogs,endovitskayaV/wealther,jasonwashburn/metpy-mondays,pinstripeninjas/met-breakfast,NOAA-ORR-ERD/WebGnomeAPI,jdkato/2kstats,pranavsinghal30/PVForecast,physicsgoddess1972/GOES-mapping,daanreijnders/bound-to-the-data,RENCI/AST,RENCI/EDSASTAPPS,iiartpic/notebook,jgmsantos/Livro-Python,nicosquare/ml-707-project,JamesBassford/Rain_App,airavata-courses/vulcan,axiom-data-science/noaa_ofs_agg,lajulienn/crashes-prediction,davidusb-geek/emhass-add-on,zmlabe/SAI,SeitaBV/flexmeasures-openweathermap,sodoesaburningbus/pysonde,RENCI/DataHarvesterSources,MODAP/datascience,Adrianonsare/Geospatial-PowerAnalysis,cedadev/stac-generator,ZaninMarco/Copy-of-repository,vduseev/number-encoding,Adrianonsare/EnergyAnalytics,physicsgoddess1972/Precipitable-Water-Model,jglauner74/glauner-weather,AIMLAC-Convergence/Convergence,timcera/tsgettoolbox,Bimal-Kumar-002/Sentiment-classification,andresgm/cno_solar,NCAR/rechunk_retro_nwm_v21,zmlabe/predictGMSTrate,davidusb-geek/emhass,DWesl/weather-data-downloader,52North/MariDataHarvest,EFisher828/CWG-NWS-Forecasts,EFisher828/CarolinaWxGroupFrequent,zmlabe/ModelBiasesANN,EFisher828/ROABVerification,zmlabe/DataVizStudies,zmlabe/ExtremeEvents,Daviology38/AMS_Python_2021_Project_Coe,ooi-data/ooi-harvester,ProtsenkoAI/aij-2020-flood,zmlabe/InternalSignal,CicadaInc/amur_ai,Vesino/pvlib_tesis,RENCI/ADCIRCSupportTools,Vesino/Exergy-YDX,IHCantabria/msp.apiprocess,kclosu/no_flood_with_ai,donmezkutay/visjobs,marciohssilveira/met_charts,prathamrg/solarapp,marciohssilveira/gfs_soundings,Gkrumbach07/solar_forecaster,areed145/kk6gpv-metpy,uiandwe/django-best-practice-example,observingClouds/satdownload,intake/intake-thredds,yaricp/py-solarhouse,thomastu/CaReCur,slayoo/MoAC,maxmills1/Irradiance,panzer/capstone-mppt,nicolasholland/yuce,areed145/kk6gpv-workers,Daniel-Wh/radiosondedatabase,toddkarin/pvtools,coroa/tmhpvsim,sshkim/docker-airflow,kuchaale/X-regression,JoDeMiro/Eniko,harpreet153/pv-graph,bird-house/finch,robfatland/galleryclone,wxmann/sounding-api,ac0015/wrf-ens-tools,IHCantabria/msp.tools,eWaterCycle/jupyterlab_thredds,higab85/off-grid,buds-lab/the-building-data-genome-project,CartoDB/carto-python,michbeg/IBM-DSX,teamvirtue/smart-sockets-dev,USDA-ARS-NWRC/weather_forecast_retrieval,louisguitton/ifp-class-ml,jrleeman/skewtweb,paolap/MFQuery,omad/opendap-fs,Solcast/howto-pandas",,https://github.com/Unidata,https://www.unidata.ucar.edu/,"Boulder, Colorado, USA",,,https://avatars.githubusercontent.com/u/613345?v=4,,,
NEON,The National Ecological Observatory Network provides open data to understand changing ecosystems.,NEONScience,https://github.com/NEONScience/NEON-utilities.git,github,,Data Catalogs and Interfaces,"2024/05/01, 20:19:24",57,0,3,true,R,National Ecological Observatory Network,NEONScience,R,,,"2017/04/14, 22:08:46",2579,AGPL-3.0,53,859,"2024/01/09, 00:07:48",10,45,121,4,119,0,0,0.612068965517241,"2023/11/03, 16:23:04",v2.4.1.9000,0,7,false,,false,false,,,https://github.com/NEONScience,http://www.neonscience.org/,"Boulder, CO",,,https://avatars.githubusercontent.com/u/9326224?v=4,,,
SynopticPy,Gives you access to real-time and historical surface-based weather and environmental observations for thousands of stations.,blaylockbk,https://github.com/blaylockbk/SynopticPy.git,github,"synoptic-api,pandas,mesowest,weather,mesonet,python",Data Catalogs and Interfaces,"2024/01/17, 19:46:28",41,0,15,true,Python,,,"Python,Nunjucks,JavaScript,CSS",https://synopticpy.readthedocs.io/,",https://zenodo.org/badge/latestdoi/288617886","2020/08/19, 02:52:50",1357,MIT,124,375,"2024/03/14, 18:35:55",9,13,33,20,53,0,0.5,0.078549848942598,"2023/03/29, 15:29:46",2023.3.0,0,4,false,,false,false,,,,,,,,,,,
NASA CMR STAC,NASA's Common Metadata Repository is a metadata catalog of NASA Earth Science data.,nasa,https://github.com/nasa/cmr-stac.git,github,,Data Catalogs and Interfaces,"2024/03/06, 19:47:13",44,0,4,true,TypeScript,NASA,nasa,"TypeScript,Python",,,"2019/09/09, 19:09:03",1701,CUSTOM,31,682,"2024/03/06, 20:19:33",41,254,293,20,61,16,1.8,0.416974169741698,,,0,21,false,,false,false,,,https://github.com/nasa,https://github.com/nasa/nasa.github.io/blob/master/docs/INSTRUCTIONS.md,United States of America,,,https://avatars.githubusercontent.com/u/848102?v=4,,,
satlas,"Aims to provide open AI-generated geospatial data that is highly accurate, available globally, and updated on a frequent (monthly) basis.",allenai,https://github.com/allenai/satlas.git,github,,Data Catalogs and Interfaces,"2024/03/15, 17:08:30",159,0,144,true,Python,AI2,allenai,Python,,,"2023/01/06, 19:31:26",486,Apache-2.0,42,57,"2024/04/26, 19:02:25",2,2,42,41,10,0,0,0.25531914893617,,,0,2,false,,false,false,,,https://github.com/allenai,http://www.allenai.org,"Seattle, WA",,,https://avatars.githubusercontent.com/u/5667695?v=4,,,
env_canada,Provides access to various data sources published by Environment and Climate Change Canada.,michaeldavie,https://github.com/michaeldavie/env_canada.git,github,,Data Catalogs and Interfaces,"2024/05/05, 12:13:33",72,0,15,true,Python,,,Python,,,"2018/07/30, 03:14:30",2108,MIT,35,276,"2024/05/05, 12:13:41",2,32,87,14,1,0,0,0.088105726872247,"2024/05/02, 20:39:53",v0.6.2,0,14,false,,false,false,,,,,,,,,,,
DataONE,"A community driven project providing access to data across multiple member repositories, supporting enhanced search and discovery of Earth and environmental data.",DataONEorg,https://github.com/DataONEorg/d1_python.git,github,"python3,repository,client,library",Data Catalogs and Interfaces,"2023/06/27, 21:59:37",16,1,3,true,Python,DataONE,DataONEorg,"Python,XSLT,HTML,Shell,CSS,Inno Setup,JavaScript",,,"2016/05/31, 16:01:00",2897,Apache-2.0,8,3310,"2024/04/24, 03:02:49",11,62,80,22,13,3,0,0.127330284910306,"2024/04/24, 02:55:57",3.5.2,0,15,false,,false,false,DataONEorg/d1_python,,https://github.com/DataONEorg,https://dataone.org,United States of America,,,https://avatars.githubusercontent.com/u/5865133?v=4,,,
rdataone,R package for reading and writing data at DataONE data repositories.,DataONEorg,https://github.com/DataONEorg/rdataone.git,github,,Data Catalogs and Interfaces,"2022/06/09, 21:07:26",35,0,5,true,R,DataONE,DataONEorg,"R,Shell",http://doi.org/10.5063/F1M61H5X,",https://doi.org/10.5063/F1M61H5X","2013/11/15, 17:27:47",3825,Apache-2.0,0,1164,"2024/04/04, 18:02:52",71,23,232,1,32,0,0.6,0.566787003610108,"2022/06/10, 21:12:19",v2.2.2,0,17,false,,false,false,,,https://github.com/DataONEorg,https://dataone.org,United States of America,,,https://avatars.githubusercontent.com/u/5865133?v=4,,,
eeExtra,A ninja python package that unifies the Google Earth Engine ecosystem.,r-earthengine,https://github.com/r-earthengine/ee_extra.git,github,"google-earth-engine,earth-engine,python,python3,r,rstats,remote-sensing,satellite-imagery,gis,geographic-information-systems,landsat,sentinel,modis,dataviz,javascript",Data Catalogs and Interfaces,"2024/05/06, 01:00:36",58,0,8,true,Python,,r-earthengine,"Python,JavaScript",https://ee-extra.readthedocs.io/,,"2021/04/02, 10:47:48",1130,CUSTOM,203,846,"2023/01/23, 08:18:24",10,10,43,0,470,2,0.1,0.334549878345499,,,0,6,false,,true,true,,,https://github.com/r-earthengine,,,,,https://avatars.githubusercontent.com/u/76627601?v=4,,,
rgee,An R binding package for calling Google Earth Engine API from within R.,r-spatial,https://github.com/r-spatial/rgee.git,github,"earth-engine,googleearthengine,google-earth-engine,r,spatial-data,spatial-analysis,earthengine",Data Catalogs and Interfaces,"2024/05/02, 18:20:47",635,0,109,true,R,,r-spatial,"R,Python,TeX",https://r-spatial.github.io/rgee/,",https://doi.org/10.5281/zenodo.3945409","2019/09/03, 05:38:52",1708,CUSTOM,59,1175,"2024/04/12, 09:17:56",43,37,319,20,24,3,0.2,0.334254143646409,"2022/03/14, 03:42:07",v.1.1.3,0,15,false,,true,true,,,https://github.com/r-spatial,https://github.com/r-spatial,,,,https://avatars.githubusercontent.com/u/25086656?v=4,,,
