project_name,oneliner,git_namespace,git_url,topics,rubric,last_update,stargazers_count,number_of_dependents,stars_last_year,project_active_checkbox,dominating_language,organization,organization_user_name,languages,homepage,created,license,total_commits_last_year,total_number_of_commits,last_issue_closed,open_issues,closed_pullrequests,closed_issues,open_pullrequests,reviews_per_pr,community_development_distribution_score,last_released_date,last_release_tag_name,good_first_issue,contributors,accepts_donations,donation_platforms,code_of_conduct,contribution_guide,organization_avatar,dependents_repos
CoralNet,A repository and resource for benthic image analysis.,beijbom,https://github.com/beijbom/coralnet.git,,Salt and Fresh Water,"2021/11/25, 13:27:04",27,0,8,true,Python,National Center for Atmospheric Research,,"Python,Jupyter Notebook,JavaScript,HTML,CSS",http://coralnet.ucsd.edu/,"2016/03/09, 21:20:31",BSD-2-Clause,130,2387,"2021/11/11, 08:31:49",150,119,258,0,0.8,0.29145978152929497,,,0,6,false,,false,false,https://avatars.githubusercontent.com/u/2007542?v=4,
Ferret,An interactive computer visualization and analysis environment designed to meet the needs of oceanographers and meteorologists analyzing large and complex gridded datasets.,NOAA-PMEL,https://github.com/NOAA-PMEL/Ferret.git,,Salt and Fresh Water,"2021/11/04, 00:40:01",43,0,8,true,Fortran,Pacific Marine Environmental Laboratory,NOAA-PMEL,"Fortran,Gnuplot,C,PostScript,HTML,Shell,Roff,Makefile,C++,PHP,M4,Objective-C,Assembly,Forth,NASL,Pascal,sed,Awk,Max,DIGITAL Command Language",https://ferret.pmel.noaa.gov/Ferret/,"2016/02/09, 21:14:32",Unlicense,1,8191,"2021/08/05, 21:47:48",582,8,1408,0,0.0,0.3447228549734245,"2020/06/25, 18:16:32",v7.6.0,0,6,false,,false,false,https://avatars.githubusercontent.com/u/16405663?v=4,
ccpp-physics,"The Common Community Physics Package is designed to facilitate the implementation of physics innovations in state-of-the-art atmospheric models, the use of various models to develop physics, and the acceleration of transition of physics innovations to operational NOAA models.",NCAR,https://github.com/NCAR/ccpp-physics.git,,Salt and Fresh Water,"2021/11/23, 22:48:34",32,0,13,true,Fortran,NCAR,National Center for Atmospheric Research,"Fortran,TeX,CMake,Python,CSS",,"2017/06/08, 17:03:06",CUSTOM,684,3363,"2021/11/22, 18:05:26",52,594,701,11,3.5,0.6193737769080234,"2021/03/08, 16:18:00",v5.0.0,0,53,false,,false,false,https://avatars.githubusercontent.com/u/2007542?v=4,
rnoaa,An R interface to many National Oceanic and Atmospheric Administration data sources.,ropensci,https://github.com/ropensci/rnoaa.git,"noaa,climate,rstats,noaa-data,r,r-package",Salt and Fresh Water,"2021/11/25, 14:02:39",291,0,27,true,R,ropensci,rOpenSci,"R,JavaScript,Makefile",https://docs.ropensci.org/rnoaa,"2013/07/08, 22:31:24",CUSTOM,49,1326,"2021/11/17, 22:38:40",16,55,388,1,1.1,0.1915846016114593,"2021/11/18, 23:21:47",c1.3.7,0,43,false,,false,true,https://avatars.githubusercontent.com/u/1200269?v=4,
parcels,"Can be used to track passive and active particulates such as water, plankton, plastic and fish.",OceanParcels,https://github.com/OceanParcels/parcels.git,"ocean-circulation-models,lagrangian-ocean-modelling,particles",Salt and Fresh Water,"2021/11/25, 01:08:59",189,5,60,true,Jupyter Notebook,,OceanParcels,"Jupyter Notebook,Python,C,PowerShell,Shell,Batchfile",http://www.oceanparcels.org,"2015/09/29, 09:43:00",MIT,408,4867,"2021/11/22, 07:04:50",37,626,1037,10,1.7,0.5613126079447324,"2021/08/13, 11:13:14",v2.3.0,0,37,false,,true,false,https://avatars.githubusercontent.com/u/14887518?v=4,"UBC-MOAD/MoaceanParcels,pgader/FundAndAppl-AI-STEM,axiom-data-science/oot-workflows,Orthogonal-Research-Lab/CGS,jimboH/CGS"
MOHID-Lagrangian,"Mainly developed for oceanographic and fluvial modeling, application to atmospheric and other planetary settings should be trivial.",Mohid-Water-Modelling-System,https://github.com/Mohid-Water-Modelling-System/MOHID-Lagrangian.git,"fortran,lagrangian-ocean-modelling,oop,mohid",Salt and Fresh Water,"2021/08/05, 06:58:30",15,0,4,true,C,MOHIDWater Modelling System,Mohid-Water-Modelling-System,"C,Fortran,Makefile,Shell,HTML,C++,Objective-C,M4,CMake,Roff,TeX,Pascal,LiveScript,Assembly,Python,Yacc,Ada,Perl,PLSQL,C#,Lex,Java,DIGITAL Command Language,Batchfile,CSS,Tcl,SAS,Module Management System,Scilab",,"2018/02/23, 14:31:13",GPL-3.0,0,1521,"2020/12/18, 16:29:35",3,86,87,1,0.0,0.20188531029065204,"2020/11/17, 13:48:18",v20.10,0,3,false,,false,false,https://avatars.githubusercontent.com/u/15635544?v=4,
Mohid,"A modular finite volumes water-modeling system written in ANSI-Fortran95 using an Object-oriented programming philosophy, integrating diverse mathematical models and supporting graphical user interfaces that manage all the pre- and post-processing.",Mohid-Water-Modelling-System,https://github.com/Mohid-Water-Modelling-System/Mohid.git,,Salt and Fresh Water,"2021/11/16, 10:17:14",55,0,12,true,Fortran,Mohid-Water-Modelling-System,MOHIDWater Modelling System,"Fortran,C,Roff,C++,C#,Pascal,Shell,Pawn,Makefile,Cuda,Rich Text Format,CMake,Batchfile",http://www.mohid.com,"2015/11/05, 16:52:33",GPL-3.0,60,2912,"2021/10/19, 09:45:12",10,42,48,0,0.0,0.5794310722100656,"2021/11/10, 17:38:51",v21.10,0,24,false,,false,false,https://avatars.githubusercontent.com/u/15635544?v=4,
AIBECS.jl,A Julia package that provides ocean biogeochemistry modelers with an easy-to-use interface for creating and running models of the ocean system.,JuliaOcean,https://github.com/JuliaOcean/AIBECS.jl.git,"ocean,oceanography,ocean-circulation,modeling,model,models,global,optimization,inverse-model,marine,marine-tracer,tracer,transport,julia,awesome,biogeochemistry,biogeochemical,biogeochemical-model,pathways,fluxes",Salt and Fresh Water,"2021/11/22, 15:28:51",27,0,10,true,Julia,JuliaOcean,,Julia,,"2019/05/08, 05:03:31",MIT,44,353,"2021/11/22, 02:17:17",29,30,56,0,0.0,0.0031250000000000444,"2021/11/22, 02:31:38",v0.11.0,0,3,false,,false,false,https://avatars.githubusercontent.com/u/41747359?v=4,
CDFTOOLS,A Fortran package for analysis and diagnostics on NEMO ocean model output.,meom-group,https://github.com/meom-group/CDFTOOLS.git,,Salt and Fresh Water,"2021/11/25, 11:54:12",23,0,5,true,Fortran,MEOM Research Group,meom-group,"Fortran,HTML,TeX,Makefile,Smarty,Shell,Pug,Ada,CSS",,"2016/09/15, 12:05:01",MIT,68,1337,"2021/07/08, 11:43:53",17,26,30,2,0.0,0.05292702485966316,"2017/07/21, 13:07:56",v3.0.2,0,11,false,,false,false,https://avatars.githubusercontent.com/u/18685991?v=4,
GOTM,The General Ocean Turbulence Model is an ambitious name for a one-dimensional water column model for marine and limnological applications.,gotm-model,https://github.com/gotm-model/code.git,,Salt and Fresh Water,"2021/11/17, 08:51:12",30,0,8,true,Fortran,GOTM,gotm-model,"Fortran,Pascal,C,CMake,Python,Shell",https://gotm.net,"2015/12/11, 10:46:27",GPL-2.0,55,2178,"2021/05/26, 06:27:31",15,8,13,6,0.25,0.4595808383233533,"2021/03/08, 15:47:32",v6.0.0,0,8,false,,false,false,https://avatars.githubusercontent.com/u/16253606?v=4,
pyroms,A collection of tools to process input and output files from the Regional Ocean Modeling System.,ESMG,https://github.com/ESMG/pyroms.git,,Salt and Fresh Water,"2021/11/18, 11:25:46",92,0,19,true,Python,,ESMG,"Python,Fortran,Makefile",,"2010/10/21, 17:22:48",CUSTOM,6,149,"2021/05/27, 17:27:18",17,13,21,2,0.0,0.19827586206896552,"2020/03/25, 21:48:47",v1.0.0,0,8,false,,false,false,https://avatars.githubusercontent.com/u/18122841?v=4,
Intro to Physical Oceanography,Course materials for Introduction to Physical Oceanography.,rabernat,https://github.com/rabernat/intro_to_physical_oceanography.git,,Salt and Fresh Water,"2021/11/24, 03:56:40",69,0,13,true,Jupyter Notebook,,,"Jupyter Notebook,TeX,Python,CSS",http://rabernat.github.io/intro_to_physical_oceanography,"2015/08/31, 21:28:36",MIT,50,181,"2018/12/01, 02:17:52",4,4,4,1,0.0,0.031847133757961776,,,0,3,false,,false,false,https://avatars.githubusercontent.com/u/18122841?v=4,
WRF-Hydro,A community modeling system and framework for hydrologic modeling and model coupling.,NCAR,https://github.com/NCAR/wrf_hydro_nwm_public.git,"modeling,hydrologic-modeling,hydrology,earth-science,wrf-hydro,fortran",Salt and Fresh Water,"2021/11/26, 03:15:12",100,0,27,true,Fortran,NCAR,National Center for Atmospheric Research,"Fortran,C,Python,Makefile,Shell,CMake,NCL,Perl,C++,Forth",https://ral.ucar.edu/projects/wrf_hydro,"2018/02/16, 21:25:17",CUSTOM,23,2714,"2021/10/05, 14:24:04",113,388,475,17,1.0,0.6237623762376238,"2021/01/29, 18:33:17",v5.2.0-rc3,0,25,false,,true,true,https://avatars.githubusercontent.com/u/2007542?v=4,
rwrfhydro,"A community-contributed tool box for managing, analyzing, and visualizing WRF Hydro (and HydroDART) input and output files in R.",NCAR,https://github.com/NCAR/rwrfhydro.git,,Salt and Fresh Water,"2021/07/23, 19:21:17",59,0,11,true,R,NCAR,National Center for Atmospheric Research,R,,"2015/01/17, 03:44:03",CUSTOM,5,784,"2021/02/23, 00:13:02",12,96,106,2,0.0,0.42409638554216866,"2021/05/10, 17:16:23",v1.0.1,0,12,false,,false,true,https://avatars.githubusercontent.com/u/2007542?v=4,
PCR-GLOBWB_model,A large-scale hydrological model intended for global to regional studies.,UU-Hydro,https://github.com/UU-Hydro/PCR-GLOBWB_model.git,,Salt and Fresh Water,"2021/11/26, 14:45:00",70,0,20,true,Python,UU-Hydro,UU-Hydro,"Python,Shell,Cython",,"2016/08/17, 15:20:35",GPL-3.0,0,4641,"2021/09/19, 19:09:40",2,12,13,1,0.0,0.3829787234042553,"2020/05/04, 02:39:35",v2.2.0_alpha_1,0,4,false,,false,true,https://avatars.githubusercontent.com/u/8937096?v=4,
HydroShare,A collaborative website for better access to data and models in the hydrologic sciences.,hydroshare,https://github.com/hydroshare/hydroshare.git,"django,django-rest-framework,postgresql,docker,hydroshare,python,hydrologic-sciences,collaboration,javascript,hydrology,hydrologic-modeling,hydrology-stormwater-analysis,hydrologic-networks,hydrologic-database,hydro,irods,nginx,solr",Salt and Fresh Water,"2021/11/09, 17:46:07",131,0,19,true,Python,HydroShare,hydroshare,"Python,JavaScript,HTML,XSLT,CSS,Shell,Vue,R,Dockerfile",https://www.hydroshare.org,"2014/10/02, 02:19:41",BSD-3-Clause,548,14254,"2021/11/19, 00:28:54",311,1832,4122,19,0.9,0.7700782835604523,"2021/11/19, 00:29:58",1.50.1,0,40,false,,false,false,https://avatars.githubusercontent.com/u/3444493?v=4,
SOILWAT2,An ecosystem water balance simulation model.,DrylandEcology,https://github.com/DrylandEcology/SOILWAT2.git,,Salt and Fresh Water,"2021/09/07, 13:29:03",3,0,1,true,C,Dryland Ecology,DrylandEcology,"C,C++,R,Makefile,Shell",,"2013/04/19, 18:11:54",GPL-3.0,13,1182,"2021/09/07, 13:29:02",42,86,247,1,0.5,0.39757709251101325,"2021/09/07, 13:29:50",v6.2.1,0,12,false,,false,false,https://avatars.githubusercontent.com/u/4193619?v=4,
dorado,Simulating passive Lagrangian particle transport over flow-fields from any 2D shallow-water hydrodynamic model using a weighted random walk methodology.,passaH2O,https://github.com/passaH2O/dorado.git,"lagrangian,particles,particle-transport,tracer,particle-tracking,particle-tracing,random-walk,rivers,hydrodynamic-modeling,simulator,particle,particle-routing,passive-tracers,numerical-modeling,numerical-modelling",Salt and Fresh Water,"2021/08/29, 06:54:41",15,0,5,true,Python,PassaH2O Group,passaH2O,"Python,TeX",https://passah2o.github.io/dorado,"2020/07/28, 21:09:07",MIT,46,385,"2021/06/15, 09:32:44",0,19,29,0,1.9,0.18799999999999994,"2021/05/07, 19:40:27",v2.5.0,0,4,false,,false,false,https://avatars.githubusercontent.com/u/30088719?v=4,
Blueant,Environmental data for Antarctic and Southern Ocean science.,AustralianAntarcticDivision,https://github.com/AustralianAntarcticDivision/blueant.git,,Salt and Fresh Water,"2021/11/10, 22:15:30",12,0,4,true,R,Australian Antarctic Division,AustralianAntarcticDivision,R,https://australianantarcticdivision.github.io/blueant/,"2017/08/22, 02:04:24",CUSTOM,30,236,"2021/03/01, 00:31:07",13,2,14,0,0.0,0.02183406113537123,,,0,3,false,,false,false,https://avatars.githubusercontent.com/u/8952518?v=4,
CO2SYS, A MATLAB (or Octave) project to compute variables of ocean CO2 systems.,jamesorr,https://github.com/jamesorr/CO2SYS-MATLAB.git,,Salt and Fresh Water,"2021/05/08, 07:43:18",17,0,4,false,Jupyter Notebook,Australian Antarctic Division,,"Jupyter Notebook,MATLAB",,"2016/12/20, 17:29:21",MIT,0,51,"2017/10/09, 15:11:06",1,1,1,0,0.0,0.0,,,0,1,false,,false,false,https://avatars.githubusercontent.com/u/8952518?v=4,
mocsy,Routines to model ocean carbonate system thermodynamics.,jamesorr,https://github.com/jamesorr/mocsy.git,,Salt and Fresh Water,"2021/10/04, 09:51:49",12,0,4,false,Fortran,Australian Antarctic Division,,"Fortran,Jupyter Notebook,C++,Python,Makefile,M4",,"2014/01/21, 14:04:27",MIT,0,157,"2017/06/02, 20:53:15",2,4,5,0,0.0,0.0,,,0,1,false,,false,false,https://avatars.githubusercontent.com/u/8952518?v=4,
seacarb,An R package that calculates various parameters of the carbonate system in seawater.,jpgattuso,https://github.com/jpgattuso/seacarb-git.git,,Salt and Fresh Water,"2021/11/04, 14:16:46",6,0,1,true,R,Australian Antarctic Division,,R,,"2014/09/01, 06:39:34",MIT,25,352,"2021/10/15, 09:44:41",2,65,72,0,0.0,0.33684210526315794,"2021/03/12, 05:39:32",v3.2.16,0,6,false,,false,false,https://avatars.githubusercontent.com/u/8952518?v=4,
RivGraph,Extracting and quantifying graphical representations of river and delta channel networks from binary masks.,jonschwenk,https://github.com/jonschwenk/RivGraph.git,,Salt and Fresh Water,"2021/11/02, 07:14:01",25,0,18,true,Python,Australian Antarctic Division,,"Python,TeX",,"2019/03/05, 19:17:19",CUSTOM,119,529,"2021/10/27, 17:04:18",6,38,60,0,0.0,0.5410958904109588,"2021/03/09, 15:56:25",v0.4,3,5,false,,false,false,https://avatars.githubusercontent.com/u/8952518?v=4,
noaa_coops, A Python wrapper for the NOAA CO-OPS Tides & Currents Data and Metadata APIs.,GClunies,https://github.com/GClunies/noaa_coops.git,"noaa,tidesandcurrents,tides,currents,metocean",Salt and Fresh Water,"2021/10/19, 22:53:43",28,0,15,true,Python,Australian Antarctic Division,,"Python,Makefile",,"2019/04/06, 16:19:40",GPL-3.0,2,111,"2021/04/27, 13:51:55",0,22,27,0,0.0,0.0449438202247191,"2020/10/12, 04:02:26",v0.1.9,0,4,false,,false,false,https://avatars.githubusercontent.com/u/8952518?v=4,
COSIMA,Ocean and sea-ice model analysis tools and examples.,COSIMA,https://github.com/COSIMA/cosima-cookbook.git,"ocean,mom,analysis",Salt and Fresh Water,"2021/11/26, 07:34:31",48,0,6,true,Python,COSIMA,COSIMA,"Python,Mako",,"2017/03/15, 01:01:22",Apache-2.0,30,428,"2021/11/22, 03:01:03",27,130,246,0,1.8,0.692063492063492,"2020/06/26, 06:33:28",0.4.0,0,10,false,,false,false,https://avatars.githubusercontent.com/u/12704607?v=4,
WaterDetect,"End-to-end algorithm to generate open water cover mask, specially conceived for L2A Sentinel 2 imagery from MAJA1 processor, without any a priori knowledge on the scene.",cordmaur,https://github.com/cordmaur/WaterDetect.git,,Salt and Fresh Water,"2021/11/21, 17:23:22",86,0,83,true,Jupyter Notebook,COSIMA,,"Jupyter Notebook,Python",,"2019/11/29, 10:34:57",GPL-3.0,35,181,"2021/11/10, 09:39:03",0,6,12,0,0.0,0.25190839694656486,"2021/11/10, 16:50:45",v1.5.11,0,4,false,,false,false,https://avatars.githubusercontent.com/u/12704607?v=4,
FLAREr,"Flexible, scalable, robust, and near-real time iterative ecological forecasts in lakes and reservoirs.",FLARE-forecast,https://github.com/FLARE-forecast/FLAREr.git,,Salt and Fresh Water,"2021/11/09, 15:16:26",5,0,3,true,R,,FLARE-forecast,R,https://flare-forecast.org/FLAREr/,"2020/09/02, 19:32:21",MIT,300,422,"2021/11/09, 15:16:23",5,26,31,1,0.0,0.48948948948948945,"2021/02/26, 07:17:45",v21.01.1,0,4,false,,false,false,https://avatars.githubusercontent.com/u/62960078?v=4,
Buhayra,Obtaining water extent of small reservoirs in semi-arid regions from satellite data in real-time.,jmigueldelgado,https://github.com/jmigueldelgado/buhayra.git,"dams,sentinel,iwrm,reservoirs,filters",Salt and Fresh Water,"2021/11/20, 15:15:18",9,0,7,true,Python,,,"Python,Shell",,"2018/04/09, 14:47:23",MIT,58,974,"2021/02/03, 20:56:09",6,0,43,0,0,0.011627906976744207,,,0,2,false,,false,false,https://avatars.githubusercontent.com/u/62960078?v=4,
Wflow,"A Julia package that provides a hydrological modeling framework, as well as several different vertical and lateral concepts that can be used to run hydrological simulations.",Deltares,https://github.com/Deltares/Wflow.jl.git,"wflow,julia,hydrology,hydrological-modelling",Salt and Fresh Water,"2021/11/24, 09:25:31",35,0,29,true,Julia,Deltares,Deltares,Julia,https://deltares.github.io/Wflow.jl/dev/,"2020/03/12, 08:56:58",MIT,310,686,"2021/11/23, 09:08:10",14,129,161,0,3.8,0.5380875202593193,"2021/11/24, 07:35:04",v0.5.1,0,7,false,,false,false,https://avatars.githubusercontent.com/u/6613768?v=4,
ML4Floods,"An ecosystem of data, models and code pipelines to tackle flooding with machine learning.",spaceml-org,https://github.com/spaceml-org/ml4floods.git,,Salt and Fresh Water,"2021/11/24, 11:34:04",26,0,26,true,Jupyter Notebook,SpaceML,spaceml-org,"Jupyter Notebook,Python,Makefile,Dockerfile",http://trillium.tech/ml4floods,"2021/02/03, 16:50:16",GPL-3.0,434,522,"2021/10/25, 15:29:29",17,55,74,0,0.5,0.5700245700245701,,,1,12,false,,false,true,https://avatars.githubusercontent.com/u/75035593?v=4,
ParFlow,"An open-source, modular, parallel watershed flow model.",parflow,https://github.com/parflow/parflow.git,,Salt and Fresh Water,"2021/10/26, 20:20:19",90,3,22,true,C,Parflow,parflow,"C,Tcl,Python,Fortran,C++,CMake,M4,Cuda,Shell,Slim,Perl,Makefile,PostScript,Dockerfile,Roff,R,Pascal,MATLAB,Batchfile",http://parflow.org,"2016/05/25, 03:35:57",CUSTOM,52,746,"2021/10/27, 19:49:47",57,220,306,0,1.0,0.30567081604426005,"2021/06/15, 15:07:27",v3.9.0,0,24,false,,false,true,https://avatars.githubusercontent.com/u/19506192?v=4,"westb2/parflow-python-container,DrewLazzeriKitware/simulation-modeler,hydroframe/Subsetting"
River Runner,Visualize the path of a rain droplet from any point in the contiguous United States to its end point.,sdl60660,https://github.com/sdl60660/river-runner.git,"hydrology,mapping,usgs,usgs-data,usgs-api,visualization,data-visualization,mapbox,mapping-tools,svelte,river-runner,yellowstone-national-park,nhdplus,ocean,geology,3d,topography,nhdplus-data,mountain-features,sci-viz",Salt and Fresh Water,"2021/11/21, 00:04:50",223,0,223,true,Svelte,Parflow,,"Svelte,JavaScript,GLSL,Python,HTML,CSS",https://river-runner.samlearner.com/,"2021/05/08, 21:41:33",GPL-3.0,243,265,"2021/08/24, 21:37:22",3,10,17,0,0.0,0.0,"2021/08/25, 15:00:36",v1.6.2,0,2,false,,false,false,https://avatars.githubusercontent.com/u/19506192?v=4,
LakePy,Pythonic user-centered front-end to the Global Lake Level Database.,ESIPFed,https://github.com/ESIPFed/LakePy.git,,Salt and Fresh Water,"2021/11/18, 00:18:13",26,0,26,true,Jupyter Notebook,ESIP,ESIPFed,"Jupyter Notebook,Python,TeX,Shell",,"2020/12/17, 05:04:29",MIT,136,141,"2021/10/12, 19:30:55",0,1,1,0,0.0,0.5384615384615384,"2021/01/04, 16:58:48",v2.1.0,0,4,false,,false,false,https://avatars.githubusercontent.com/u/3588047?v=4,
CaMa,Designed to simulate the hydrodynamics in continental-scale rivers.,global-hydrodynamics,https://github.com/global-hydrodynamics/CaMa-Flood_v4.git,,Salt and Fresh Water,"2021/11/19, 08:23:02",17,0,17,true,Fortran,Global Hydrodynamics Lab,global-hydrodynamics,"Fortran,Shell,Jupyter Notebook,Python,Makefile",,"2021/01/06, 02:46:16",Apache-2.0,150,215,"2021/11/19, 08:22:58",0,64,65,0,0.1,0.2647058823529411,"2021/04/02, 06:01:16",v4.01,0,8,false,,false,false,https://avatars.githubusercontent.com/u/76986737?v=4,
Cahaba,Flood inundation mapping and evaluation software configured to work with U.S. National Water Model.,NOAA-OWP,https://github.com/NOAA-OWP/cahaba.git,"inundation,mapping,evaluation,hydrology,gis,flood-inundation-maps,national-water-center,noaa,national-hydrography-dataset",Salt and Fresh Water,"2021/11/18, 17:20:24",29,0,27,true,Python,,NOAA-OWP,"Python,Shell,HTML,QML,Dockerfile",,"2020/05/14, 17:21:09",CUSTOM,134,236,"2021/11/18, 17:20:23",75,122,412,0,0.7,0.6681034482758621,"2021/11/16, 15:11:57",v3.0.24.0,0,11,false,,false,true,https://avatars.githubusercontent.com/u/60660814?v=4,
Global Flood Database Scripts & Data,Used to produce the Global Flood Database and assess changes in population exposed to floods.,cloudtostreet,https://github.com/cloudtostreet/MODIS_GlobalFloodDatabase.git,,Salt and Fresh Water,"2021/11/20, 04:40:40",48,0,48,true,Jupyter Notebook,Cloud to Street,cloudtostreet,"Jupyter Notebook,Python,R",,"2021/04/23, 18:06:02",MIT,8,8,"2021/09/08, 15:23:35",0,0,1,0,0,0.5,"2021/04/23, 18:13:43",v1.0.0,0,3,false,,false,false,https://avatars.githubusercontent.com/u/33142951?v=4,
rivr,Designed as an educational tool for students and instructors of undergraduate and graduate courses in open channel hydraulics.,mkoohafkan,https://github.com/mkoohafkan/rivr.git,hydraulics,Salt and Fresh Water,"2021/10/30, 02:51:30",16,0,7,true,R,Cloud to Street,,"R,C++,TeX",https://mkoohafkan.github.io/rivr,"2015/01/11, 22:31:02",GPL-3.0,6,81,"2017/03/07, 18:49:49",4,0,2,0,0,0.0,"2021/01/26, 03:39:25",v1.2-3,0,1,false,,false,false,https://avatars.githubusercontent.com/u/33142951?v=4,
Aqualink,A philanthropically funded system to help people manage their local marine ecosystems in the face of increasing Ocean temperatures.,aqualinkorg,https://github.com/aqualinkorg/aqualink-app.git,"environment,climate-change,typescript,react,nodejs",Salt and Fresh Water,"2021/11/26, 16:24:21",15,0,11,true,TypeScript,Aqualink.org,aqualinkorg,"TypeScript,CSS,JavaScript,HTML,Shell,Dockerfile",,"2020/04/28, 21:43:56",MIT,160,375,"2021/11/26, 16:24:18",19,381,617,2,2.6,0.601063829787234,,,6,15,false,,false,false,https://avatars.githubusercontent.com/u/63257299?v=4,
argopy,"A global network of nearly 4000 autonomous probes measuring pressure, temperature and salinity from the surface to 2000m depth every 10 days.",euroargodev,https://github.com/euroargodev/argopy.git,"argo,python,argo-floats,oceanography,argo-data",Salt and Fresh Water,"2021/11/26, 19:25:17",96,4,37,true,Python,Euro-Argo ERIC,euroargodev,"Python,Shell",https://argopy.readthedocs.io,"2020/03/17, 16:14:32",Apache-2.0,240,994,"2021/11/25, 10:31:26",15,88,140,2,0.7,0.07967667436489612,"2021/11/02, 13:55:00",v0.1.8,0,9,false,,true,true,https://avatars.githubusercontent.com/u/57987739?v=4,"closes/fdls,euroargodev/floatoftheday,euroargodev/argopy-status,euroargodev/argoonlineschool"
eWaterCycle,Makes it easier to use hydrological models without having intimate knowledge about how to install and run the models.,eWaterCycle,https://github.com/eWaterCycle/ewatercycle.git,,Salt and Fresh Water,"2021/11/22, 14:34:44",15,0,15,true,Python,,eWaterCycle,Python,,"2018/08/29, 15:47:07",CUSTOM,134,161,"2021/10/18, 07:06:17",65,114,209,5,2.9,0.47468354430379744,"2021/10/18, 07:23:17",1.1.3,0,8,false,,true,true,https://avatars.githubusercontent.com/u/12843269?v=4,
RHESSys,The Regional Hydro-Ecologic Simulation System.,RHESSys,https://github.com/RHESSys/RHESSys.git,,Salt and Fresh Water,"2021/11/25, 11:28:52",68,0,16,true,C,,RHESSys,"C,C++,Makefile,Yacc,Python,Awk,Shell,Lex,R,QMake",,"2013/04/11, 02:32:19",CUSTOM,76,1720,"2021/07/13, 11:14:42",72,33,79,7,0.0,0.7240829346092503,"2021/08/23, 17:47:55",RHESSys-7.4,0,19,false,,false,false,https://avatars.githubusercontent.com/u/4058983?v=4,
RTE+RRTMGP,A set of codes for computing radiative fluxes in planetary atmospheres.,earth-system-radiation,https://github.com/earth-system-radiation/rte-rrtmgp.git,"radiative-transfer,climate-model",Atmosphere,"2021/11/14, 05:53:14",39,0,13,true,Fortran,,earth-system-radiation,"Fortran,Python,Makefile,Shell",,"2018/06/28, 16:14:45",BSD-3-Clause,7,229,"2021/11/19, 17:21:26",8,113,138,1,1.2,0.3232323232323232,"2021/09/22, 18:10:45",v1.4,0,6,false,,false,true,https://avatars.githubusercontent.com/u/61439532?v=4,
pyglow,A Python module that wraps several upper atmosphere climatological models written in FORTRAN.,timduly4,https://github.com/timduly4/pyglow.git,,Atmosphere,"2021/11/19, 19:54:09",74,0,16,true,Fortran,,,"Fortran,Python,Makefile,Dockerfile",,"2013/08/09, 17:06:55",MIT,3,210,"2021/06/23, 16:01:49",30,54,112,3,0.0,0.1777777777777778,,,0,9,false,,false,false,https://avatars.githubusercontent.com/u/61439532?v=4,
OasisPiWind,PiWind is a wind storm model for a small area of the UK.,OasisLMF,https://github.com/OasisLMF/OasisPiWind.git,,Atmosphere,"2021/11/15, 11:06:40",14,0,0,true,Jupyter Notebook,Oasis Loss Modelling Framework,OasisLMF,"Jupyter Notebook,Groovy,Python,Makefile,Shell",https://oasislmf.github.io,"2017/04/11, 14:11:42",BSD-2-Clause,9,725,"2021/10/01, 13:23:54",0,64,83,0,0.2,0.4233226837060703,,,0,13,false,,false,false,https://avatars.githubusercontent.com/u/8616323?v=4,
Massive-Parallel Trajectory Calculations,A Lagrangian particle dispersion model for the analysis of atmospheric transport processes in the free troposphere and stratosphere.,slcs-jsc,https://github.com/slcs-jsc/mptrac.git,"atmospheric-modelling,dispersion-model,stratosphere,trajectories,dispersion,atmospheric-science,climate,climate-science,troposphere,meteorology,high-performance-computing",Atmosphere,"2021/11/15, 15:45:20",14,0,8,true,C,Simulation and Data Laboratory Climate Science,slcs-jsc,"C,Shell,Makefile",,"2019/12/27, 13:02:15",GPL-3.0,222,469,"2021/09/10, 13:38:49",0,3,3,0,0.0,0.026258205689277947,"2021/11/19, 16:13:36",v2.2,0,5,false,,false,false,https://avatars.githubusercontent.com/u/14200814?v=4,
ICAR,"A simplified atmospheric model designed primarily for climate downscaling, atmospheric sensitivity tests, and hopefully educational uses.",NCAR,https://github.com/NCAR/icar.git,"icar,netcdf,climate,downscaling,regional-climate-model,precipitation",Atmosphere,"2021/10/23, 09:33:39",52,0,9,true,Fortran,NCAR,National Center for Atmospheric Research,"Fortran,Python,Makefile,Shell,C++,Pascal,Assembly",,"2015/10/27, 20:50:39",MIT,74,1595,"2021/11/21, 01:37:16",6,81,99,0,0.0,0.060126582278481,"2016/06/01, 03:06:15",0.9.3,0,13,false,,false,false,https://avatars.githubusercontent.com/u/2007542?v=4,
